130,     Public debt for private purposes,"556,602,563",0.25,"356,183,620","200,418,943",0.7,"571,459",3.34,"228,765","342,694",5.57,"3,755,323",0,"3,725,064","30,259",0,"9,001,456",0.06,"4,697,145","4,304,311",0.13,"4,530,165",2.76,"1,421,617","3,108,548",4.02,"53,692,563",0.1,"30,267,716","23,424,847",0.23,"13,222,295",0.49,"12,098,925","1,123,370",5.71,"14,333,489",0.03,"14,246,134","87,355",5.53,"1,525,126",0.38,"1,354,022","171,104",3.43,0,0,0,0,0,"12,947,651",0.98,"2,110,028","10,837,623",1.17,"7,762,599",3.35,"3,304,459","4,458,140",5.83,"56,414",0,"56,414",0,0,"2,290,248",0,"2,287,919","2,329",0,"26,111,085",0.45,"25,315,373","795,712",14.61,"14,328,176",0.1,"13,744,315","583,861",2.57,"1,722,913",2.3,"1,334,269","388,644",10.2,"5,528,524",2.02,"1,394,065","4,134,459",2.7,"15,566,750",0.64,"6,825,872","8,740,878",1.15,"12,546,010",0.14,"7,129,950","5,416,060",0.31,"2,017,293",0.51,"1,979,160","38,133",27.01,"12,581,414",0,"10,638,563","1,942,851",0,"20,123,328",0.05,"20,076,923","46,405",23.7,"15,118,812",0.53,"12,970,595","2,148,217",3.71,"12,156,643",0.6,"3,086,032","9,070,611",0.8,"1,435,854",0.04,"1,082,619","353,235",0.15
134,Long-term debt issued,"342,431,081",0.35,"124,301,691","218,129,390",0.54,"2,522,452",4.87,"695,053","1,827,399",6.72,"654,940",0,"375,157","279,783",0,"3,219,608",0.09,"1,408,638","1,810,970",0.15,"2,551,746",0.8,"738,148","1,813,598",1.12,"53,961,166",1.24,"14,220,400","39,740,766",1.69,"10,197,907",2.34,"3,090,419","7,107,488",3.36,"5,090,076",0.92,"3,914,299","1,175,777",3.97,"465,348",0,"245,245","220,103",0,"619,428",0,0,"619,428",0,"15,056,033",3.08,"3,010,826","12,045,207",3.85,"6,617,180",1.67,"1,863,347","4,753,833",2.32,"1,482,402",0,"565,776","916,626",0,"338,191",2.78,"149,210","188,981",4.98,"17,242,923",2.05,"4,440,124","12,802,799",2.75,"3,512,607",0.75,"1,394,475","2,118,132",1.24,"2,745,252",1.74,"660,196","2,085,056",2.29,"6,286,983",0.49,"4,551,533","1,735,450",1.78,"3,631,302",2.77,"712,857","2,918,445",3.45,"1,561,201",7.05,"591,168","970,033",11.34,"1,197,725",2.47,"746,300","451,425",6.55,"6,479,605",0.86,"2,797,599","3,682,006",1.52,"8,666,737",2.88,"5,860,158","2,806,579",8.91,"10,050,493",1.18,"3,245,604","6,804,889",1.75,"4,712,755",2.12,"1,235,372","3,477,383",2.87,"1,414,377",1.37,"354,733","1,059,644",1.83
135,Long-term debt retired,"293,391,660",0.23,"107,885,267","185,506,393",0.37,"2,426,316",1.34,"685,377","1,740,939",1.87,"839,814",0.4,"547,484","292,330",1.15,"3,740,102",0.6,"862,140","2,877,962",0.78,"1,519,502",0.95,"366,182","1,153,320",1.25,"44,165,566",0.88,"13,903,327","30,262,239",1.28,"5,456,762",4.03,"1,567,480","3,889,282",5.65,"4,522,844",0.34,"3,303,068","1,219,776",1.28,"547,439",0.06,"322,199","225,240",0.15,"244,325",0,0,"244,325",0,"13,026,241",1.95,"3,135,838","9,890,403",2.57,"4,871,696",0.89,"1,480,173","3,391,523",1.28,"1,836,522",0,"1,282,967","553,555",0,"405,327",0.61,"224,749","180,578",1.37,"17,232,127",0.93,"6,365,764","10,866,363",1.47,"3,153,312",0.33,"1,080,302","2,073,010",0.5,"2,300,210",1.86,"668,353","1,631,857",2.62,"3,146,893",0.57,"583,408","2,563,485",0.7,"2,266,906",0.72,"776,517","1,490,389",1.09,"4,047,536",0.63,"3,107,789","939,747",2.69,"751,874",1.81,"407,202","344,672",3.96,"4,453,249",0.15,"1,997,692","2,455,557",0.27,"7,654,041",1.31,"5,846,319","1,807,722",5.56,"7,923,304",0.57,"2,552,400","5,370,904",0.84,"5,347,990",1.12,"1,603,641","3,744,349",1.6,"1,178,525",1.58,"417,992","760,533",2.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,            Cash and security holdings,"7,589,375,466",0.06,"5,340,592,603","2,248,782,863",0.21,"71,389,935",0.3,"55,988,216","15,401,719",1.39,"101,209,834",0.08,"95,757,697","5,452,137",1.5,"105,098,826",0.12,"73,827,431","31,271,395",0.41,"52,993,947",0.36,"42,932,463","10,061,484",1.89,"1,404,717,077",0.18,"855,056,440","549,660,637",0.45,"127,890,561",0.73,"87,527,883","40,362,678",2.33,"74,488,803",0.51,"56,480,778","18,008,025",2.11,"20,018,075",0.3,"17,548,136","2,469,939",2.42,"16,064,488",0,0,"16,064,488",0,"387,444,260",0.21,"258,534,571","128,909,689",0.64,"172,675,714",0.21,"118,711,804","53,963,910",0.68,"31,542,602",0,"26,870,390","4,672,212",0,"33,307,753",0.27,"28,820,467","4,487,286",1.98,"288,885,282",0.52,"182,159,676","106,725,606",1.4,"87,487,296",0.23,"66,543,333","20,943,963",0.97,"64,113,306",0.21,"51,144,868","12,968,438",1.02,"45,786,006",0.87,"26,912,112","18,873,894",2.11,"67,133,663",0.48,"49,147,855","17,985,808",1.81,"94,379,783",0.16,"71,756,610","22,623,173",0.66,"25,590,942",0.39,"22,600,328","2,990,614",3.34,"114,434,594",0.07,"79,304,781","35,129,813",0.24,"146,523,751",0.29,"109,132,164","37,391,587",1.13,"168,640,319",0.35,"118,532,008","50,108,311",1.19,"127,490,110",0.26,"98,071,308","29,418,802",1.11,"46,673,737",0.18,"39,165,798","7,507,939",1.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Insurance trust funds,"4,707,814,943",0.04,"3,893,105,798","814,709,145",0.22,"42,991,615",0,"39,931,610","3,060,005",0,"16,709,916",0,"16,357,861","352,055",0,"56,725,349",0,"51,424,780","5,300,569",0,"32,574,349",0,"32,279,122","295,227",0.17,"989,744,756",0.01,"726,798,166","262,946,590",0.04,"61,136,691",0.13,"56,443,616","4,693,075",1.71,"47,725,605",0.76,"36,280,531","11,445,074",3.15,"11,468,133",0.43,"10,551,155","916,978",5.4,"13,016,563",0,0,"13,016,563",0,"211,817,787",0.22,"173,593,580","38,224,207",1.2,"118,227,866",0.06,"103,975,444","14,252,422",0.46,"18,628,215",0,"18,628,215",0,0,"19,908,081",0,"19,889,104","18,977",0,"181,045,155",0.47,"134,131,208","46,913,947",1.81,"34,373,519",0.02,"33,389,021","984,498",0.66,"39,810,473",0,"39,755,049","55,424",0,"24,016,269",0,"22,176,611","1,839,658",0,"36,982,648",0.01,"36,069,328","913,320",0.56,"56,048,490",0.14,"53,666,895","2,381,595",3.28,"16,090,609",0,"16,090,609",0,0,"79,227,757",0.03,"58,680,542","20,547,215",0.13,"90,688,905",0.3,"67,781,706","22,907,199",1.21,"101,790,284",0.38,"83,104,005","18,686,279",2.07,"75,598,917",0,"73,963,434","1,635,483",0.16,"31,438,769",0,"31,438,769",0,0
138,     Unemployment compensation,"148,919,961",0,"148,355,250","564,711",0,"1,441,198",0,"1,441,198",0,0,"953,558",0,"953,558",0,0,"2,194,752",0,"2,194,752",0,0,"1,658,582",0,"1,658,582",0,0,"7,434,484",0,"7,434,484",0,0,"2,274,478",0,"2,274,478",0,0,"1,474,860",0,"1,474,860",0,0,"349,930",0,"349,930",0,0,"564,711",0,0,"564,711",0,"8,171,584",0,"8,171,584",0,0,"4,990,660",0,"4,990,660",0,0,"1,151,108",0,"1,151,108",0,0,"1,340,534",0,"1,340,534",0,0,"4,236,336",0,"4,236,336",0,0,"1,712,738",0,"1,712,738",0,0,"2,345,410",0,"2,345,410",0,0,"1,903,226",0,"1,903,226",0,0,"1,291,830",0,"1,291,830",0,0,"2,138,758",0,"2,138,758",0,0,"976,314",0,"976,314",0,0,"2,635,092",0,"2,635,092",0,0,"3,353,882",0,"3,353,882",0,0,"9,252,908",0,"9,252,908",0,0,"3,130,612",0,"3,130,612",0,0,"1,420,366",0,"1,420,366",0,0
139,     Employee retirement,"4,440,564,575",0.04,"3,626,420,141","814,144,434",0.22,"41,550,417",0,"38,490,412","3,060,005",0,"15,735,384",0,"15,383,329","352,055",0,"54,530,597",0,"49,230,028","5,300,569",0,"30,802,620",0,"30,507,393","295,227",0.17,"951,748,196",0.01,"688,801,606","262,946,590",0.04,"55,992,293",0.14,"51,299,218","4,693,075",1.71,"46,200,516",0.78,"34,755,442","11,445,074",3.15,"11,114,523",0.45,"10,197,545","916,978",5.4,"12,451,852",0,0,"12,451,852",0,"203,351,828",0.23,"165,127,621","38,224,207",1.2,"113,225,384",0.06,"98,972,962","14,252,422",0.46,"17,477,107",0,"17,477,107",0,0,"17,750,574",0,"17,731,597","18,977",0,"176,728,590",0.48,"129,814,643","46,913,947",1.81,"32,659,434",0.02,"31,674,936","984,498",0.66,"37,459,721",0,"37,404,297","55,424",0,"22,111,577",0,"20,271,919","1,839,658",0,"34,473,807",0.01,"33,560,487","913,320",0.56,"53,665,552",0.15,"51,283,957","2,381,595",3.28,"15,102,378",0,"15,102,378",0,0,"76,302,635",0.03,"55,755,420","20,547,215",0.13,"87,174,810",0.32,"64,267,611","22,907,199",1.21,"92,503,980",0.42,"73,817,701","18,686,279",2.07,"72,446,127",0,"70,810,644","1,635,483",0.16,"30,018,403",0,"30,018,403",0,0
140,     Workers' compensation,"107,311,469",0,"107,311,469",0,0,0,0,0,0,0,"20,974",0,"20,974",0,0,0,0,0,0,0,"113,147",0,"113,147",0,0,"20,372,299",0,"20,372,299",0,0,"2,793,807",0,"2,793,807",0,0,"50,229",0,"50,229",0,0,"3,680",0,"3,680",0,0,0,0,0,0,0,"294,375",0,"294,375",0,0,0,0,0,0,0,0,0,0,0,0,"816,973",0,"816,973",0,0,"66,976",0,"66,976",0,0,"1,347",0,"1,347",0,0,"5,342",0,"5,342",0,0,"1,466",0,"1,466",0,0,"1,217,011",0,"1,217,011",0,0,"32,591",0,"32,591",0,0,"11,917",0,"11,917",0,0,"107,017",0,"107,017",0,0,"61,241",0,"61,241",0,0,"33,396",0,"33,396",0,0,"22,178",0,"22,178",0,0,0,0,0,0,0
141,     Miscellaneous,"11,018,938",0,"11,018,938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,189,777",0,"10,189,777",0,0,"76,113",0,"76,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,822",0,"11,822",0,0,0,0,0,0,0,0,0,0,0,0,"13,253",0,"13,253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"211,589",0,"211,589",0,0,0,0,0,0,0,"183,013",0,"183,013",0,0,"98,972",0,"98,972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Other than insurance trust funds,"2,881,560,523",0.15,"1,447,486,805","1,434,073,718",0.3,"28,398,320",0.75,"16,056,606","12,341,714",1.73,"84,499,918",0.1,"79,399,836","5,100,082",1.61,"48,373,477",0.26,"22,402,651","25,970,826",0.49,"20,419,599",0.93,"10,653,341","9,766,258",1.95,"414,972,321",0.59,"128,258,274","286,714,047",0.86,"66,753,870",1.4,"31,084,267","35,669,603",2.62,"26,763,198",0.44,"20,200,247","6,562,951",1.78,"8,549,942",0.39,"6,996,981","1,552,961",2.16,"3,047,925",0,0,"3,047,925",0,"175,626,474",0.39,"84,940,991","90,685,483",0.75,"54,447,848",0.66,"14,736,360","39,711,488",0.9,"12,914,387",0,"8,242,175","4,672,212",0,"13,399,672",0.66,"8,931,363","4,468,309",1.99,"107,840,127",1.14,"48,028,468","59,811,659",2.06,"53,113,777",0.38,"33,154,312","19,959,465",1.02,"24,302,833",0.54,"11,389,819","12,913,014",1.02,"21,769,737",1.83,"4,735,501","17,034,236",2.34,"30,151,015",1.08,"13,078,527","17,072,488",1.9,"38,331,294",0.33,"18,089,715","20,241,579",0.62,"9,500,333",1.05,"6,509,719","2,990,614",3.34,"35,206,837",0.23,"20,624,239","14,582,598",0.55,"55,834,847",0.57,"41,350,458","14,484,389",2.21,"66,850,034",0.68,"35,428,003","31,422,031",1.45,"51,891,192",0.63,"24,107,874","27,783,318",1.18,"15,234,968",0.56,"7,727,029","7,507,939",1.14
,   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,          Offsets to debt,"756,950,704",0.27,"450,319,798","306,630,906",0.67,"2,931,052",2,"1,305,671","1,625,381",3.61,"4,312,777",1.79,"4,087,228","225,549",34.26,"12,928,422",0.14,"5,499,239","7,429,183",0.24,"5,634,245",2.21,"2,111,373","3,522,872",3.53,"67,074,182",1.61,"28,699,229","38,374,953",2.81,"16,687,267",1.23,"12,165,859","4,521,408",4.52,"17,173,537",0.04,"16,898,529","275,008",2.38,"1,742,314",0.33,"1,502,130","240,184",2.42,"1,718,628",0,0,"1,718,628",0,"20,525,791",0.72,"5,387,047","15,138,744",0.98,"10,040,794",2.59,"3,739,146","6,301,648",4.12,"1,018,981",0,"606,875","412,106",0,"3,051,465",0.73,"2,732,166","319,299",6.93,"34,166,095",0.34,"29,302,647","4,863,448",2.39,"21,868,967",0.13,"19,510,132","2,358,835",1.19,"5,705,175",0.95,"4,563,210","1,141,965",4.76,"9,680,285",1.78,"2,989,804","6,690,481",2.57,"16,392,976",0.62,"6,657,397","9,735,579",1.04,"14,172,025",0.18,"7,443,389","6,728,636",0.37,"3,851,618",0.1,"3,809,630","41,988",9.12,"15,546,550",0,"13,246,459","2,300,091",0,"26,594,316",0.04,"26,157,381","436,935",2.5,"18,240,729",0.44,"15,021,221","3,219,508",2.47,"18,192,283",0.44,"7,176,088","11,016,195",0.73,"2,454,279",0.36,"1,687,395","766,884",1.17
144,          Bond funds,"249,374,623",0.48,"49,253,615","200,121,008",0.6,"2,918,854",5.4,"816,501","2,102,353",7.5,"354,165",0,"23,271","330,894",0,"2,768,994",0.08,"376,491","2,392,503",0.1,"2,252,027",0.36,"150,617","2,101,410",0.39,"43,913,489",1.98,"5,700,697","38,212,792",2.27,"6,500,674",0.62,"1,130,266","5,370,408",0.75,"1,221,945",2.86,"504,178","717,767",4.86,"400,460",0,"362,303","38,157",0,"22,524",0,0,"22,524",0,"12,267,487",0.88,"3,606,087","8,661,400",1.25,"8,433,261",0.94,"880,076","7,553,185",1.05,"422,237",0,"5,876","416,361",0,"1,022,280",0.47,"398,917","623,363",0.77,"9,254,731",3.32,"1,636,323","7,618,408",4.04,"1,867,283",4.09,"411,947","1,455,336",5.24,"1,800,823",1.79,"238,182","1,562,641",2.06,"2,151,548",1.35,"50,200","2,101,348",1.38,"1,234,732",6.49,"737,863","496,869",16.13,"2,529,188",3.21,"247,868","2,281,320",3.55,"559,818",2.61,"211,492","348,326",4.2,"2,373,081",1.99,"206,020","2,167,061",2.18,"4,305,813",5.77,"1,500,477","2,805,336",8.85,"4,276,864",2.09,"1,202,873","3,073,991",2.91,"1,421,657",2.3,"603,198","818,459",4,"1,255,327",0.64,"48,542","1,206,785",0.67
145,          Other,"1,875,235,196",0.19,"947,913,392","927,321,804",0.38,"22,548,415",0.39,"13,934,434","8,613,981",1.03,"79,832,976",0.04,"75,289,337","4,543,639",0.69,"32,676,061",0.38,"16,526,921","16,149,140",0.78,"12,533,328",1.12,"8,391,351","4,141,977",3.4,"303,984,650",0.64,"93,858,348","210,126,302",0.93,"43,565,929",2.12,"17,788,142","25,777,787",3.58,"8,367,716",1.31,"2,797,540","5,570,176",1.97,"6,407,168",0.53,"5,132,548","1,274,620",2.69,"1,306,773",0,0,"1,306,773",0,"142,833,196",0.45,"75,947,857","66,885,339",0.96,"35,973,793",0.68,"10,117,138","25,856,655",0.95,"11,473,169",0,"7,629,424","3,843,745",0,"9,325,926",0.9,"5,800,280","3,525,646",2.38,"64,419,301",1.67,"17,089,498","47,329,803",2.28,"29,377,526",0.59,"13,232,233","16,145,293",1.08,"16,796,835",0.72,"6,588,427","10,208,408",1.18,"9,937,904",3.49,"1,695,497","8,242,407",4.21,"12,523,306",2.3,"5,683,267","6,840,039",4.21,"21,630,081",0.36,"10,398,458","11,231,623",0.7,"5,088,897",1.88,"2,488,597","2,600,300",3.68,"17,287,206",0.3,"7,171,760","10,115,446",0.52,"24,934,718",0.66,"13,692,600","11,242,118",1.47,"44,332,442",0.97,"19,203,909","25,128,533",1.71,"32,277,253",0.94,"16,328,588","15,948,665",1.9,"11,525,363",0.67,"5,991,092","5,534,271",1.41
,1 Duplicative intergovernmental transactions are excluded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbreviations and symbols:  -  zero or rounds to zero;  (X)   not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"n.e.c. = ""not elsewhere classified""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note that the data released for Delaware and New Mexico in the spreadsheets do not meet all of the criteria outlined in the Census Bureau Standard:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Quality Requirements for Releasing Data Products.  While the unit response rates for this table fall below the Census Bureau's 60 percent standard, the Total Quantity Response Rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"at a state area level are in an acceptable range.  For debt and assets in Arkansas and Idaho special districts and Missouri townships, debt in Indiana special districts,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"assets in Vermont townships, and expenditure and debt in North Dakota townships, the Total Quantity Response Rates are under the Census Bureau's 70 percent standard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For a detailed description of the specific quality issues and information about the impact on the data  see:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www2.census.gov/govs/estimate/quality_issues_cog_finance.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Creation date: June 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
